Spotify ID,Artist IDs,Track Name,Artist Name(s),Duration (ms),Popularity,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3A94GcANmg8APx68mGfoix,38C3okxv3fyyOIQUVPCdGX,Warm-Up / Dialogue Between Lee Morgan And Rudy Van Gelder - Remastered,Lee Morgan,35853,28,"bebop,big band,free jazz,hard bop,jazz,jazz fusion,jazz trumpet,soul jazz",0.482,0.131,8,-20.925,1,0.331,0.871,0.00000672,0.109,0.749,91.376,3
4Vkk3iD1VrENHJEACNddvt,6QQuESLtKhAOcLW2TeWC2t,Moanin' - Remastered,Art Blakey,570720,50,"bebop,big band,contemporary post-bop,hard bop,jazz,jazz drums",0.612,0.493,5,-8.589,0,0.0467,0.804,0.266,0.202,0.484,126.358,4
0b1enif732ppkDbyWMys0G,78NDaMzmcDKjt7mkXs7AuG,Blues On My Mind,Benny Golson,450400,15,"bebop,contemporary post-bop,hard bop,japanese jazz,jazz,jazz saxophone,stride,vocal jazz",0.572,0.282,0,-14.537,0,0.0662,0.894,0.893,0.0915,0.54,118.334,4
43qTHtzIXt8ehFgcncwglq,2hGh5VOeeqimQFxqXvfCUf,Locomotion - Remastered 2003/Rudy Van Gelder Edition,John Coltrane,434240,27,"bebop,free jazz,jazz,jazz saxophone",0.514,0.701,3,-6.864,1,0.052,0.765,0.0177,0.32,0.851,133.913,4
4OvgbHrvIinni76tkocA1V,"1Sc9ykJB728MAZab1Ocwy8,2hGh5VOeeqimQFxqXvfCUf",News For Lulu - 1998 Remaster,"Sonny Clark,John Coltrane",514666,15,"bebop,contemporary post-bop,hard bop,japanese jazz,jazz,jazz piano,soul jazz,stride,free jazz,jazz saxophone",0.531,0.376,5,-9.661,0,0.0658,0.844,0.00647,0.108,0.586,85.521,4
1jdMUopCw65FocAdnJqyuD,3ZUZYvTkSr7kJQyAXVpqaL,Down Tempo - Rudy Van Gelder Edition/Digital Remaster/2006,Donald Byrd,319026,10,"bebop,funk,hard bop,indie jazz,jazz,jazz funk,jazz trumpet,soul,soul jazz",0.543,0.471,10,-7.869,1,0.0437,0.843,0.00976,0.2,0.541,143.264,4
0cWMf4QrlmHYhxXUh8tTjD,2ky06Hu02htCYdnLZICpqY,'Smake It - Rudy Van Gelder/Digital Remaster/2007,Walter Davis,308800,10,"barrelhouse piano,delta blues,traditional blues",0.562,0.664,7,-8.394,0,0.0451,0.642,0.0987,0.117,0.82,121.378,4
0jjveZoZefVwS5sigyapmi,1lB7KbOr9xdPK1CuasxmeA,Francisco - Rudy Van Gelder Edition/2002 Remaster/24-Bit Mastering,Jackie McLean,573840,11,"avant-garde jazz,bebop,contemporary post-bop,free jazz,hard bop,jazz,jazz saxophone",0.495,0.494,0,-11.654,0,0.0413,0.633,0.0000171,0.107,0.527,130.33,4
2CjYcsYr75YAMrffulBG3M,5ZATfKurLqflrBhv2FLht5,Nineteen Bars - Remastered,Horace Silver,382786,8,"bebop,big band,hard bop,jazz,jazz piano,soul jazz,stride",0.428,0.716,10,-7.836,0,0.0817,0.802,0.0438,0.35,0.703,78.508,4
5ExPPLT7SG1j9cZuM73NDH,420BtT2Zyze7Eb9zqHcliW,The Thing To Do - Remastered 2004/Rudy Van Gelder Edition,Blue Mitchell,425760,11,"bebop,hard bop,japanese jazz,jazz,jazz funk,jazz trumpet,soul jazz",0.596,0.434,7,-10.765,0,0.0391,0.569,0.000413,0.0896,0.658,92.519,4
5fpkmne3YVnw2x8wBuuAFg,1N0ymPm6hUQbmzXDuERfeT,Oh Baby,Big John Patton,377293,12,"hard bop,jazz funk,jazz organ,soul jazz",0.571,0.568,4,-9.548,0,0.0638,0.666,0.217,0.174,0.459,118.944,4
1ltZ8XLAFJxApVspIueDHK,4PvoN2l7OuhaABa0nDtxPS,Vicksville,Harold Vick,341733,8,soul jazz,0.609,0.353,5,-11.512,0,0.0334,0.83,0.166,0.15,0.192,106.719,4
1IE7WRKqedl3ys7qVylAnC,413WfGS7CgAHEJD4DtAo3e,The Other Part Of Town - Rudy Van Gelder Edition/Digitally Remastered 2009,Horace Parlan,701133,7,"bebop,hard bop,jazz piano,soul jazz",0.618,0.429,8,-10.664,1,0.0332,0.752,0.0803,0.18,0.355,110.48,4
